epsilon_decay_rate,min_exploration_rate,discount_factor_g,start_learning_rate_a,min_learning_rate_a,learning_decay_rate,success_rate
7.820187989870903e-05,0.001096027356770671,0.9269532846362244,0.5699733819538744,0.0002915542709179661,0.0001223030567106627,56.93333333333334
5.133501154345847e-05,1.568437253689613e-05,0.9283942823359839,0.19501254363670104,0.0020344116490122587,0.00022531729091136395,18.8
0.0007213308106843859,0.0009148147584994215,0.9575594239533386,0.33221329619010515,0.006700571641231414,7.185264653689806e-05,56.00000000000001
1.0015083537459658e-05,3.391634493947849e-05,0.9350773692733384,0.19655795698782752,0.008130526568225799,2.6236608140809708e-05,28.933333333333334
6.8267479225864435e-06,0.00040422788794051203,0.9177190200231563,0.13787297027161394,0.0003980008585414213,2.9126501188541463e-05,45.06666666666666
1.7101522983871518e-06,0.0001651055430410862,0.9050876981875228,0.2543879522747002,0.0004930893201183838,1.3503284848804198e-05,18.4
0.0009614104791768189,0.0001704194349028385,0.9751936841570136,0.3030593870598893,0.029195384419939647,2.7213599129922898e-05,56.53333333333334
0.0007070426394114442,9.896589741442889e-05,0.9970524583212131,0.34995431916637454,0.012604376298979215,3.9825832327896423e-05,42.66666666666667
0.0002298998586706228,0.0011692797789438706,0.9963882177917834,0.12857767915950946,0.013362093564773041,2.0455206120655073e-05,50.0
9.716689988229956e-06,0.00043549282181615717,0.9804557876291647,0.7614517975492651,0.004309440677372288,1.6272862710807695e-05,23.599999999999998
6.605649792086962e-05,0.0004459651799341444,0.9486026974101414,0.6853070213613583,0.00011273091472355214,0.0008332394556403214,59.599999999999994
7.704567765393484e-05,0.0005022624510044282,0.949345665874317,0.740438166432237,0.00010993711589406147,0.000981974980077926,38.800000000000004
0.00018359191198035133,0.0013326661446179204,0.9370170335555817,0.493087504514635,0.00010321961786734401,0.00032802592079089575,44.800000000000004
2.4439569558739755e-05,0.0006053355116646749,0.9155804183230453,0.4894948808968294,0.0004840909868844887,0.000918759893463875,38.13333333333333
0.0001498170034186035,0.0003130406634158049,0.9600211653743624,0.5309061223465597,0.0010493244877359978,0.00023846107109966246,58.93333333333334
0.0002997606284531976,0.00024742019971655063,0.9635875231667912,0.861148389450237,0.0013144756558002525,0.00045631242751936947,61.86666666666667
0.0002678285462540299,7.097188018238804e-05,0.9724104697456153,0.856086470667263,0.001606423821430598,0.0005099467996554539,61.46666666666667
0.0003482767510027326,6.435816216027827e-05,0.9755297003654869,0.8608243494784507,0.002050241499535833,0.0004912845603112791,57.86666666666667
0.0003907888882324695,5.0832885839920627e-05,0.9672144489512848,0.8864758007111408,0.09234033507149109,0.00011861839889264214,62.133333333333326
2.47570195746619e-05,3.308227964993612e-05,0.9630495706657298,0.40281840641924554,0.08654119401798924,9.943755841828755e-05,48.8
0.0004921463031774757,0.0002348756112165575,0.9875032211839683,0.10231619347496206,0.07747852162954784,5.945808715641712e-05,58.666666666666664
0.00031785795859169436,8.473074622780382e-05,0.9675666051756079,0.6428842733078227,0.0014906274898391636,0.0004010421284706048,52.53333333333333
0.0001341001910511295,4.8705295385669824e-05,0.9477458328657223,0.8937323124938908,0.000917443081569546,0.00016385399405899074,61.06666666666667
0.00028929795086984114,0.00011768833496493674,0.9843191495718171,0.6284306021725875,0.003943031754227346,0.0006744535649137724,53.733333333333334
0.0004998375345925674,4.1355482761632834e-05,0.9704107210041137,0.8992680834672739,0.03667552236416037,0.0005739058612543828,0.5333333333333333
0.00013104132894346942,1.851126642370979e-05,0.9552030278901991,0.43218100326810044,0.0008070395328461338,0.0003312514140701652,61.06666666666667
4.028382784421093e-05,6.458279227081227e-05,0.9702112121938004,0.7714862771394206,0.002363354706378381,0.0002140074366927002,22.26666666666667
0.0005034023873606511,2.2302569362869505e-05,0.992198715312385,0.5969165394064863,0.0202469889875903,1.0193141310719406e-05,47.599999999999994
9.196317619300624e-05,0.0002373822499022422,0.9774923333833273,0.7444475237515621,0.0002512286477475207,0.00015042311915885353,63.46666666666667
0.0001401046386100485,0.000224085366759407,0.9415438197688819,0.5802432858633598,0.00019396494066105334,0.00012674320647323897,57.99999999999999
0.0001001804605764632,0.0007145638767464671,0.9793690400334246,0.7115309341302772,0.00024544509641986055,9.756612884958326e-05,60.0
